reporting_organisation,donor,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,admin5pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,end_date,comments,contact_person,position,email,phone,month_of_activity,abbreviation,implementing_partner,activity
Concern Worldwide (CWW),CWW,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,Luna park otogarı kampı/مخيم الملاهي,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - One time,Earthquake,48,11,235,50,56,53,68,4,4,48,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,7200,New IDPs,2023-07-12,2023-07-12,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,Neruz kamp/مخيم النيروز,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - One time,Earthquake,72,29,337,63,73,91,99,3,8,72,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,10800,New IDPs,2023-07-13,2023-07-13,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,Daraviye kampı/الدرعاوية,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - One time,Earthquake,52,7,261,52,60,71,74,3,1,52,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,7800,New IDPs,2023-07-13,2023-07-13,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,Nur fırın kampı/مخيم النور خلف فرن النور,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Multipurpose - One time,Earthquake,21,7,111,19,24,28,39,1,0,21,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,3150,New IDPs,2023-07-13,2023-07-13,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,A'zaz,A'zaz,Azaz,NA,İVA İQRA/ ايواء اقرأ,SY02,SY0204,SY020400,C1564,NA,NA,NA,NA,36.584872,37.04316,Multipurpose - One time,Earthquake,76,32,383,72,88,115,101,4,3,76,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,11400,New IDPs,2023-07-13,2023-07-13,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,A'zaz,A'zaz,Azaz,NA,İVA ELABRAR/ايواء الابرار,SY02,SY0204,SY020400,C1564,NA,NA,NA,NA,36.584872,37.04316,Multipurpose - One time,Earthquake,115,58,625,109,118,184,205,3,6,115,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,17250,New IDPs,2023-07-13,2023-07-13,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,A'zaz,A'zaz,Azaz,NA,ALNUR AZEZ ETRAFINDA /ايواء  النور-,SY02,SY0204,SY020400,C1564,NA,NA,NA,NA,36.584872,37.04316,Multipurpose - One time,Earthquake,15,3,76,15,16,20,25,0,0,15,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,2250,New IDPs,2023-07-13,2023-07-13,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,ALTal Camp /ايواء  التل,SY02,SY0203,SY020302,C1426,NA,NA,NA,NA,36.392488,36.689563,Multipurpose - One time,Earthquake,23,7,123,27,26,38,30,1,1,23,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,3450,New IDPs,2023-07-17,2023-07-17,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),CWW,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,Hidaya Camp /ايواء  الهداية-,SY02,SY0203,SY020302,C1426,NA,NA,NA,NA,36.392488,36.689563,Multipurpose - One time,Earthquake,26,11,144,27,28,41,45,1,2,26,0,0,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,3900,New IDPs,2023-07-17,2023-07-17,NA,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-07-31,SR,Syria Relief (SR),Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Planned,Idleb,Harim,Harim,Harim,(Shamiya Village),NA,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - One time,Earthquake,500,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,75000,New IDPs,NA,NA,Distribution TBD,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-08-31,SENED,Sened Organization,Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Planned,Idleb,Idleb,Maaret Tamsrin,Kafr - Kafrehmul,NA,NA,SY07,SY0700,SY070005,C3942,NA,NA,NA,NA,36.059153,36.69679,Multipurpose - One time,Earthquake,600,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,90000,New IDPs,NA,NA,Distribution TBD,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-08-31,SENED,Sened Organization,Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Planned,Idleb,Idleb,Maaret Tamsrin,Shekh Bahr,NA,NA,SY07,SY0700,SY070005,C6631,NA,NA,NA,NA,36.050467,36.564705,Multipurpose - One time,Earthquake,200,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,30000,New IDPs,NA,NA,Distribution TBD,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-08-31,SENED,Sened Organization,Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Planned,Idleb,Idleb,Maaret Tamsrin,Kafr Nabi,NA,NA,SY07,SY0700,SY070005,C3948,NA,NA,NA,NA,36.057085,36.609101,Multipurpose - One time,Earthquake,200,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,30000,New IDPs,NA,NA,Distribution TBD,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-08-31,SENED,Sened Organization,Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Planned,Idleb,Harim,Kafr Takharim,Kafr Takharim,Sinbiltah,NA,SY07,SY0703,SY070303,C4157,NA,NA,NA,NA,36.116497,36.51543,Multipurpose - One time,Earthquake,700,NA,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,105000,New IDPs,NA,NA,Distribution TBD,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-08-31,SENED,Sened Organization,Multipurpose Cash Response
Concern Worldwide (CWW),DEC,Planned,Aleppo,Jebel Saman,Atareb,Atareb,NA,NA,SY02,SY0200,SY020001,C1022,NA,NA,NA,NA,36.137884,36.828382,Multipurpose - One time,Earthquake,300,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,45000,New IDPs,NA,NA,Distribution TBD,Ghaith Aal Fakhri,NW Syria Programme Coordinator,ghaith.aalfakhri@concern.net,5350666055,2023-08-31,SENED,Sened Organization,Multipurpose Cash Response
NA,Concern worldwide,Completed,Aleppo,Afrin,Jandairis,Jalma (Jandairis),NA,NA,SY02,SY0203,SY020302,C1424,NA,NA,NA,village,36.357144,36.770047,Multipurpose - One time,Earthquake,337,52,1791,332,368,532,482,37,40,180,157,0,218,No,yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,NA,150,50550,Other,2023-05-02,2023-05-05,NA,Ahmad Kattan,Program Manager,akattan@bonyan.ngo,5356811300,2023-05-31,BONYAN,Bonyan Organization (BO),Multipurpose Cash Response
NA,Concern worldwide,Completed,Aleppo,Afrin,Jandairis,Bayada - Jendris,NA,NA,SY02,SY0203,SY020302,C1434,NA,NA,NA,village,36.375652,36.663053,Multipurpose - One time,Earthquake,99,13,470,90,102,135,105,19,19,48,51,0,172,No,yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,151,One-off,2,NA,151,14949,Other,2023-05-02,2023-05-05,NA,Ahmad Kattan,Program Manager,akattan@bonyan.ngo,5356811300,2023-05-31,BONYAN,Bonyan Organization (BO),Multipurpose Cash Response
NA,Concern worldwide,Completed,Aleppo,Afrin,Jandairis,Sheikh Abel Rahman,NA,NA,SY02,SY0203,SY020302,C1419,NA,NA,NA,village,36.431499,36.763546,Multipurpose - One time,Earthquake,61,15,279,43,69,70,75,11,11,47,14,0,89,No,yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,152,One-off,3,NA,152,9272,Other,2023-05-02,2023-05-05,NA,Ahmad Kattan,Program Manager,akattan@bonyan.ngo,5356811300,2023-05-31,BONYAN,Bonyan Organization (BO),Multipurpose Cash Response
NA,Concern worldwide,Completed,Aleppo,Afrin,Afrin,Eskan,NA,NA,SY02,SY0203,SY020300,C1352,NA,NA,NA,village,36.353492,36.807785,Multipurpose - One time,Earthquake,78,14,411,83,98,124,106,10,14,38,40,0,127,No,yes,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,NA,150,11700,Other,2023-05-02,2023-05-05,NA,Ahmad Kattan,Program Manager,akattan@bonyan.ngo,5356811300,2023-05-31,BONYAN,Bonyan Organization (BO),Multipurpose Cash Response
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Sheikh Abel Rahman,NA,NA,SY02,SY0203,SY020302,C1419,NA,NA,NA,NA,36.431499,36.763546,Multipurpose - One time,Earthquake,83,1,418,95,109,99,115,22,NA,15,403,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,12450,Blanket,2023-03-01,2023-03-01,NA,Mosab Hajismael,Emergency Manager,mhajismael@sy.goal.ie,5385741577,2023-03-31,GOAL,GOAL (GOAL),Multipurpose Cash Response
GOAL,BHA,Completed,Idleb,Harim,Armanaz,Milis,NA,NA,SY07,SY0703,SY070305,C4184,NA,NA,NA,NA,36.005116,36.487717,Multipurpose - One time,Earthquake,325,0,1606,402,426,386,392,58,NA,35,1571,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,48750,Blanket,2023-03-01,2023-03-01,NA,Mosab Hajismael,Emergency Manager,mhajismael@sy.goal.ie,5385741577,2023-03-31,GOAL,GOAL (GOAL),Multipurpose Cash Response
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Abel,NA,NA,SY02,SY0203,SY020301,C1397,NA,NA,NA,NA,36.69364,36.846184,Multipurpose - One time,Earthquake,6,0,26,7,6,10,3,1,NA,6,20,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,900,Blanket,2023-03-01,2023-03-01,NA,Mosab Hajismael,Emergency Manager,mhajismael@sy.goal.ie,5385741577,2023-03-31,GOAL,GOAL (GOAL),Multipurpose Cash Response
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Ali Elatrash - Olikar,NA,NA,SY02,SY0203,SY020301,C1408,NA,NA,NA,NA,36.790231,36.783877,Multipurpose - One time,Earthquake,3,0,8,2,3,0,3,0,NA,3,5,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,450,Blanket,2023-03-01,2023-03-01,NA,Mosab Hajismael,Emergency Manager,mhajismael@sy.goal.ie,5385741577,2023-03-31,GOAL,GOAL (GOAL),Multipurpose Cash Response
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Ali Jaru,NA,NA,SY02,SY0203,SY020301,C8286,NA,NA,NA,NA,36.743163,36.871431,Multipurpose - One time,Earthquake,4,0,21,4,4,4,9,0,NA,4,17,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,600,Blanket,2023-03-01,2023-03-01,NA,Mosab Hajismael,Emergency Manager,mhajismael@sy.goal.ie,5385741577,2023-03-31,GOAL,GOAL (GOAL),Multipurpose Cash Response
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Ashani,NA,NA,SY02,SY0203,SY020301,C1411,NA,NA,NA,NA,36.695954,36.784258,Multipurpose - One time,Earthquake,1,0,3,0,1,1,1,0,NA,1,2,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Blanket,2023-03-01,2023-03-01,NA,Mosab Hajismael,Emergency Manager,mhajismael@sy.goal.ie,5385741577,2023-03-31,GOAL,GOAL (GOAL),Multipurpose Cash Response
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Bali - Koy,NA,NA,SY02,SY0203,SY020301,C1407,NA,NA,NA,NA,36.786385,36.835568,Multipurpose - One time,Earthquake,1,0,6,1,1,3,1,0,NA,1,5,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Blanket,2023-03-01,2023-03-01,NA,Mosab Hajismael,Emergency Manager,mhajismael@sy.goal.ie,5385741577,2023-03-31,GOAL,GOAL (GOAL),Multipurpose Cash Response
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Beylan,NA,NA,SY02,SY0203,SY020301,C8263,NA,NA,NA,NA,36.680065,36.868352,Multipurpose - One time,Earthquake,4,0,9,1,6,2,0,1,NA,3,6,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,600,Blanket,2023-03-01,2023-03-01,NA,Mosab Hajismael,Emergency Manager,mhajismael@sy.goal.ie,5385741577,2023-03-31,GOAL,GOAL (GOAL),Multipurpose Cash Response
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Bulbul,NA,NA,SY02,SY0203,SY020301,C1391,NA,NA,Al-Tamayouz Camp,NA,36.769656,36.819347,Multipurpose - One time,Earthquake,255,3,1266,236,272,395,363,12,NA,78,1188,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,38250,Blanket,2023-03-01,2023-03-01,NA,Mosab Hajismael,Emergency Manager,mhajismael@sy.goal.ie,5385741577,2023-03-31,GOAL,GOAL (GOAL),Multipurpose Cash Response
